,features,lables
783,Oviedo 15 4 4 7 17 21 16,B-ORG O O O O O O O
784,Sporting Gijon 15 4 4 7 15 22 16,B-ORG O O O O O O O O
785,Logrones 15 4 3 8 11 33 15,B-ORG O O O O O O O
786,Zaragoza 15 2 8 5 18 23 14,B-ORG O O O O O O O
787,Sevilla 15 4 2 9 13 20 14,B-ORG O O O O O O O
788,Compostela 15 3 4 8 13 28 13,B-ORG O O O O O O O
789,Hercules 15 2 2 11 11 29 8,B-ORG O O O O O O O
790,Extremadura 15 1 3 11 8 30 6,B-ORG O O O O O O O
791,-DOCSTART- SOCCER - SPAIN PICK UNCAPPED ARMANDO FOR WORLD CUP CLASH .,O O O B-LOC O O B-PER O B-MISC I-MISC O O
792,MADRID 1996-12-06,B-LOC O
793,Spain coach Javier Clemente has added uncapped Deportivo Coruna midfielder Armando Alvarez to his squad for the World Cup qualifier against Yugoslavia on December 14 .,B-LOC O B-PER I-PER O O O B-ORG I-ORG O B-PER I-PER O O O O O B-MISC I-MISC O O B-LOC O O O O
794,""" I do n't believe it ...",O O O O O O O
795,"I thought it was a joke , "" said Armando who replaces injured Atletico Madrid playmaker Jose Luis Caminero .",O O O O O O O O O B-PER O O O B-ORG I-ORG O B-PER I-PER I-PER O
796,-DOCSTART- SOCCER - FIFA BOSS HAVELANGE STANDS BY WEAH .,O O O B-ORG O B-PER O O B-PER O
797,ROME 1996-12-06,B-LOC O
798,FIFA chairman Joao Havelange said on Friday he would personally present AC Milan George Weah with world soccer 's fair play award despite the striker 's attack on Porto captain Jorge Costa .,B-ORG O B-PER I-PER O O O O O O O B-ORG I-ORG B-PER I-PER O O O O O O O O O O O O O B-ORG O B-PER I-PER O
799,"In an interview with the Italian newspaper Gazzetta dello Sport , he was quoted as saying Weah had been provoked into the assault which left Costa with a broken nose .",O O O O O B-MISC O B-ORG I-ORG I-ORG O O O O O O B-PER O O O O O O O O B-PER O O O O O
800,""" FIFA has named the Liberian for its 1996 Fair Play award and it is not going to change its decision , "" Havelange said .",O B-ORG O O O B-MISC O O O O O O O O O O O O O O O O O B-PER O O
801,""" A reaction , provoked , cannot erase 10 years of loyalty everywhere and in every competition .",O O O O O O O O O O O O O O O O O O
802,""" I will be happy to give him the award personally on January 20 in Lisbon and I 'm confident that Costa himself will be there beside me on that day to shake his hand . """,O O O O O O O O O O O O O O O B-LOC O O O O O B-PER O O O O O O O O O O O O O O O
803,"Weah was suspended for one match by UEFA , European soccer 's governing body , pending a fuller investigation .",B-PER O O O O O O B-ORG O B-MISC O O O O O O O O O O
804,The incident took place in the players ' tunnel after a European Champions ' League match on November 20 .,O O O O O O O O O O O B-MISC I-MISC I-MISC I-MISC O O O O O
805,Weah has admitted head butting Costa but said he reacted to racist taunts .,B-PER O O O O B-PER O O O O O O O O
806,He has offered to apologise if Costa acknowledges the provocation .,O O O O O O B-PER O O O O
807,"Costa , who needed surgery on his nose , has not accepted the offer and was reported to be considering suing Weah .",B-PER O O O O O O O O O O O O O O O O O O O O B-PER O
808,Weah served out his suspension during Milan 's 2-1 home defeat by Rosenborg of Norway on Wednesday .,B-PER O O O O O B-ORG O O O O O B-ORG O B-LOC O O O
809,The defeat put the Italians out of the Europoean Cup .,O O O O B-MISC O O O B-MISC I-MISC O
810,-DOCSTART- GUNMEN WOUND TWO MANCHESTER UNITED FANS IN AUSTRIA .,O O O O B-ORG I-ORG O O B-LOC O
811,VIENNA 1996-12-06,B-LOC O
812,"Two Manchester United soccer fans were wounded by unidentified gunmen on Friday and taken to hospital in the Austrian capital , police said .",O B-ORG I-ORG O O O O O O O O O O O O O O O B-MISC O O O O O
813,""" The four Britons were shot at from a Mercedes car at around 1 a.m. , "" a spokeswoman told Reuters .",O O O B-MISC O O O O O B-MISC O O O O O O O O O O B-ORG O
814,The two men were hit in the pelvis and leg .,O O O O O O O O O O O
815,Police said their lives were not in danger .,O O O O O O O O O
816,"The fans , in Austria to watch their team play Rapid Vienna last Wednesday , may have been involved in a pub brawl earlier , the spokeswoman said .",O O O O B-LOC O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O
817,Manchester United won 2-0 .,B-ORG I-ORG O O O
818,-DOCSTART- SOCCER - ITALIAN FIRST DIVISION MATCHES THIS WEEKEND .,O O O B-MISC O O O O O O
819,ROME 1996-12-06,B-LOC O
820,"Italian Serie A games to be played on Sunday ( league positions in parentheses , all kick- off times GMT ) :",B-MISC B-MISC I-MISC O O O O O O O O O O O O O O O O B-MISC O O
821,Bologna ( 4 ) v Piacenza ( 13 ) 1330,B-ORG O O O O B-ORG O O O O
822,"Along with leaders Vicenza , fourth-placed Bologna represent the biggest surprise of this Italian autumn .",O O O B-ORG O O B-ORG O O O O O O B-MISC O O
823,"Led as usual by Swede Kennet Andersson and Russian Igor Kolyvanov in attack , Bologna can expect a tough home match against a Piacenza side still exultant after a 3-2 league win over AC Milan last Sunday .",O O O O B-MISC B-PER I-PER O B-MISC B-PER I-PER O O O B-ORG O O O O O O O O B-ORG O O O O O O O O O B-ORG I-ORG O O O
824,Cagliari ( 16 ) v Reggiana ( 18 ) 1530,B-ORG O O O O B-ORG O O O O
825,Cagliari start favourite in this relegation scrap following draws with Napoli and Inter in last two outings but will be without suspended Swiss defender Ramon Vega .,B-ORG O O O O O O O O O B-ORG O B-ORG O O O O O O O O O B-MISC O B-PER I-PER O
826,"Bottom team Reggiana are also without a suspended defender , German Dietmar Beiersdorfer .",O O B-ORG O O O O O O O B-MISC B-PER I-PER O
827,Fiorentina ( 10 ) v Perugia ( 8 ) 1330,B-ORG O O O O B-ORG O O O O
828,"Fiorentina will be without three suspended players -- defenders Daniele Carnasciali and Lorenzo Amoruso and midfielder Emiliano Bigica -- for a difficult home match against unpredictable , attack-oriented Perugia led by in-form Croat striker Milan Rapajic and the experienced Fausto Pizzi .",B-ORG O O O O O O O O B-PER I-PER O B-PER I-PER O O B-PER I-PER O O O O O O O O O O B-ORG O O O B-MISC O B-PER I-PER O O O B-PER I-PER O
829,Lazio ( 12 ) v AS Roma ( 7 ) 1930,B-ORG O O O O B-ORG I-ORG O O O O
830,"Poor man 's Roman derby in what has been a miserable season for both Rome teams , already eliminated from the Italian and UEFA Cups .",O O O B-MISC O O O O O O O O O O B-LOC O O O O O O B-MISC O B-MISC I-MISC O
831,"Lazio have injury doubts about striker Pierluigi Casiraghi , Czech midfielder Pavel Nedved and defender Paolo Negro , while Roma present a full strength side led by Argentine Abel Balbo , Marco Delvecchio and Francesco Totti in attack .",B-ORG O O O O O B-PER I-PER O B-LOC O B-PER I-PER O O B-PER I-PER O O B-ORG O O O O O O O B-MISC B-PER I-PER O B-PER I-PER O B-PER I-PER O O O
832,AC Milan ( 9 ) v Udinese ( 11 ) 1330,B-ORG I-ORG O O O O B-ORG O O O O
833,Can Milan sink any further ?,O B-ORG O O O O
834,"Following their midweek Champions ' League elimination by Norwegian side Rosenborg , a morale-boosting win is badly needed .",O O O B-MISC I-MISC I-MISC O O B-MISC O B-ORG O O O O O O O O
835,"Liberian striker George Weah makes a welcome return for Milan alongside Roberto Baggio , with Montenegrin Dejan Savicevic in midfield .",B-MISC O B-PER I-PER O O O O O B-ORG O B-PER I-PER O O B-MISC B-PER I-PER O O O
836,Good news for Milan is that Udinese 's German striker Oliver Bierhoff is out through injury .,O O O B-ORG O O B-ORG O B-MISC O B-PER I-PER O O O O O
837,Napoli ( 5 ) v Verona ( 17 ) 1330,B-ORG O O O O B-ORG O O O O
838,In-form Napoli should prove too strong for second from bottom Verona despite the absence of their suspended Argentine defender Roberto Ayala .,O B-ORG O O O O O O O O B-ORG O O O O O O B-MISC O B-PER I-PER O
839,Verona 's slim chances have been further reduced by a knee injury to their experienced midfielder Eugenio Corini .,B-ORG O O O O O O O O O O O O O O O B-PER I-PER O
840,Parma ( 14 ) v Atlalanta ( 15 ) 1330,B-ORG O O O O B-ORG O O O O
841,"Parma may field new signing , Croat midfielder Mario Stanic , in an attempt to lift a miserable season which has seen them go without a win since a 1-0 triumph over Cagliari eight weeks ago .",B-ORG O O O O O B-MISC O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O
842,Parma 's French midfielder Daniel Bravo and defender Fabio Cannavaro are suspended while Argentine Nestor Sensini is out through injury .,B-ORG O B-MISC O B-PER I-PER O O B-PER I-PER O O O B-MISC B-PER I-PER O O O O O
843,"Atalanta look to Filippo Inzaghi , scorer of eight goals .",B-ORG O O B-PER I-PER O O O O O O
844,Sampdoria ( 6 ) v Juventus ( 3 ) 1330,B-ORG O O O O B-ORG O O O O
845,"All-conquering Juventus field their most recent signing , Portuguese defender Dimas , while Alessandro Del Piero and Croat Alen Boksic lead the attack .",O B-ORG O O O O O O B-MISC O B-PER O O B-PER I-PER I-PER O B-MISC B-PER I-PER O O O O
846,The new world club champions may prove too strong for a Sampdoria side led by captain Roberto Mancini but missing injured French midfielder Pierre Laigle .,O O O O O O O O O O O B-ORG O O O O B-PER I-PER O O O B-MISC O B-PER I-PER O
847,Vicenza ( 1 ) v Internazionale ( 2 ) 1330,B-ORG O O O O B-ORG O O O O
848,Not exactly a clash of the titans but an intriuguing match nonetheless .,O O O O O O O O O O O O O
849,"Full strength Vicenza , led by Uruguayan Marcelo Otero , may continue their surprise run at the top against an Inter side that has been less than impressive in three successive home draws .",O O B-ORG O O O B-MISC B-PER I-PER O O O O O O O O O O O B-ORG O O O O O O O O O O O O O
850,Inter will be without suspended French defender Joceyln Angloma and injured Chilean striker Ivan Zamorano .,B-ORG O O O O B-MISC O B-PER I-PER O O B-MISC O B-PER I-PER O
851,-DOCSTART- BASKETBALL - EUROLEAGUE RESULT .,O O O B-MISC O O
852,BRUSSELS 1996-12-06,B-LOC O
853,Result of a EuroLeague basketball match on Thursday :,O O O B-MISC O O O O O
854,Group B,O O
855,In Charleroi :,O B-LOC O
856,Charleroi ( Belgium ) 75 Estudiantes Madrid ( Spain ) 82 ( 34-35 ),B-ORG O B-LOC O O B-ORG I-ORG O B-LOC O O O O O
857,Leading scorers :,O O O
858,"Charleroi - Eric Cleymans 18 , Ron Ellis 18 , Jacques Stas 14",B-ORG O B-PER I-PER O O B-PER I-PER O O B-PER I-PER O
859,"Estudiantes - Harper Williams 20 , Chadler Thompson 17 , Juan Aisa 14",B-ORG O B-PER I-PER O O B-PER I-PER O O B-PER I-PER O
860,Group D,O O
861,In Belgrade :,O B-LOC O
862,Partizan Belgrade ( Yugoslavia ) 78 Kinder Bologna ( Italy ) 70 ( halftime 44-35 ),B-ORG I-ORG O B-LOC O O B-ORG I-ORG O B-LOC O O O O O O
863,Leading scorers :,O O O
864,Partizan - Dejan Koturovic 21,B-ORG O B-PER I-PER O
865,Kinder - Zoran Savic 18,O O B-PER I-PER O
866,-DOCSTART- SQUASH - EYLES WITHIN SIGHT OF FIFTH TITLE OF YEAR .,O O O B-PER O O O O O O O O
867,"BOMBAY , India 1996-12-06",B-LOC O B-LOC O
868,"World number two Rodney Eyles moved within sight of his fifth title of the year on Friday when he hurried in only 40 minutes to the final of the richest squash tournament outside the World Open , the $ 105,000 Mahindra International .",O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O B-MISC I-MISC O
869,The Australian brushed aside unseeded Englishman Mark Cairns 15-7 15-6 15-8 .,O B-MISC O O O B-MISC B-PER I-PER O O O O
870,Top-seeded Eyles now meets titleholder Peter Nicol of Scotland who overcame Simon Parke of England 15-7 15-12 15-12 .,O B-PER O O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O
871,"Nicol was full of praise for his opponent who has battled testicular cancer to return to the circuit . """,B-PER O O O O O O O O O O O O O O O O O O O
872,"He 's a remarkably courageous player , "" said Nicol .",O O O O O O O O O B-PER O
873,-DOCSTART- SQUASH - MAHINDRA INTERNATIONAL SEMIFINAL RESULTS .,O O O B-MISC I-MISC O O O
874,"BOMBAY , India 1996-12-06",B-LOC O B-LOC O
875,Results of semifinals in the Mahindra International squash tournament on Friday :,O O O O O B-MISC I-MISC O O O O O
876,Peter Nicol ( Scotland ) beat Simon Parke ( England ) 15-7 15-12 15-12 Rodney Eyles ( Australia ) beat Mark Cairns ( England ) 15-7 15-6 15-8 .,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O
877,"Final : Nicol v Eyles , on Saturday .",O O B-PER O B-PER O O O O
878,-DOCSTART- GUNMEN KILL FOUR IN S.AFRICA 'S ZULU PROVINCE .,O O O O O B-MISC O B-MISC O O
879,"DURBAN , South Africa 1996-12-06",B-PER O B-LOC I-LOC O
880,"At least four people have been shot dead in two suspected political attacks in South Africa 's volatile Zulu heartland , police said on Friday .",O O O O O O O O O O O O O O B-LOC I-LOC O O B-MISC O O O O O O O
881,A police spokesman said two youths believed to be supporters of President Nelson Mandela 's African National Congress ( ANC ) had been killed when unknown gunmen opened fire at the rural settlement of Izingolweni on KwaZulu-Natal province 's south coast on Thursday night .,O O O O O O O O O O O O B-PER I-PER O B-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O B-LOC O B-LOC O O O O O O O O
882,"The victims were 18 and 20 , he said , adding one other youth had been wounded in the shooting .",O O O O O O O O O O O O O O O O O O O O O
883,"In another attack , also on the province 's south coast on Thursday night , two men were shot dead near Umkomaas .",O O O O O O O O O O O O O O O O O O O O O B-LOC O
884,""" We suspect that these killings are linked to politics , "" spokesman Bala Naidoo told Reuters .",O O O O O O O O O O O O O B-PER I-PER O B-ORG O
885,There had been no arrests .,O O O O O O
886,The killings came just hours after violence monitors said they were not optimistic of a peaceful festive season in KwaZulu-Natal and pointed the south coast region where 18 people were massacred last Christmas as one of potential hot spots .,O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O
887,"They said the recent lull in political feuding could be upset as thousands of migrant workers , some tense with grudges brewed in the cities and keen to settle old scores , flock back to their home villages .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
888,"More than 14,000 people have lost their lives in over a decade of political turf wars between the ANC and Zulu Chief Mangosuthu Buthelezi 's Inkatha Freedom Party in the province .",O O O O O O O O O O O O O O O O O O B-ORG O B-MISC O B-PER I-PER O B-ORG I-ORG I-ORG O O O O
889,-DOCSTART- HAVEL PRAISES CZECH NATIVE ALBRIGHT AS FRIEND .,O B-PER O B-MISC O B-PER O O O
890,Klara Gajduskova,B-PER I-PER
891,PRAGUE 1996-12-06,B-LOC O
892,"Czech President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State .",B-LOC O B-PER I-PER O O O O O O B-PER I-PER O O O O B-LOC O O O O B-LOC I-LOC O O O O O O O
893,"In a statement Havel , who is recovering from cancer surgery , said : "" Madeleine Albright is a distinguished friend , a tested diplomat , and a true American of fine origins . """,O O O B-PER O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O B-MISC O O O O O
894,""" I look forward to continuing our good relations ...",O O O O O O O O O O
895,with the United States and with the first woman ever to hold the position of Secretary of State .,O O B-LOC I-LOC O O O O O O O O O O O O O O O
896,"I wish her well , "" Havel said in a statement to Reuters .",O O O O O O B-PER O O O O O B-ORG O
897,"Havel , who helped lead the "" velvet revolution "" that ousted the Communist regime in Prague in 1989 , invited Albright , then working for a private foreign policy think tank , to advise his new democratic government in 1990 .",B-PER O O O O O O O O O O O O B-MISC O O B-LOC O O O O B-PER O O O O O O O O O O O O O O O O O O O O
898,Havel had a small malignant tumour removed from his lung on Monday and is recovering in hospital .,B-PER O O O O O O O O O O O O O O O O O
899,"Albright , born Marie Korbelova to a Czechoslovak diplomat in 1937 , fled with her family to the United States after the Communists came to power in a coup in 1948 .",B-PER O O B-PER I-PER O O B-MISC O O O O O O O O O O B-LOC I-LOC O O B-MISC O O O O O O O O O
900,"As an academic , Albright studied and lectured on Europe 's 20th century problems before becoming U.S. ambassador to the United Nations .",O O O O B-PER O O O O B-LOC O O O O O O B-LOC O O O B-ORG I-ORG O
901,"Czech diplomats , seeking to have their country included in the expected expansion of NATO , praised the selection of Albright , known to be a strong supporter of alliance 's integration of former Soveit-bloc countries .",B-LOC O O O O O O O O O O O O O B-ORG O O O O O B-PER O O O O O O O O O O O O O B-MISC O O
902,""" The nomination ...",O O O O
903,"is a clear signal that one key of the lines of foreign policy will be the strengthening of the trans-Atlantic cooperation , a creation of strategic partnership between Europe and the US , "" Foreign Minister Josef Zieleniec told Reuters .",O O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O B-LOC O O B-LOC O O O O B-PER I-PER O B-ORG O
904,""" ( Albright ) is a convinced advocate of NATO enlargement and of stabilisation of security structures . """,O O B-PER O O O O O O B-ORG O O O O O O O O O
905,"Czech ambassador to the United Nations , Karel Kovanda , told the daily Mlada Fronta Dnes that Albright "" is a little light in our diplomatic heaven , "" but warned against expecting her to exert any influence in favour of the Czechs .",B-LOC O O O B-ORG I-ORG O B-PER I-PER O O O O B-ORG I-ORG I-ORG O B-PER O O O O O O O O O O O O O O O O O O O O O O O O B-MISC O
906,-DOCSTART- RADIO ROMANIA AFTERNOON HEALINES AT 4 PM .,O B-ORG I-ORG O O O O O O
907,BUCHAREST 1996-12-06,B-LOC O
908,Radio Romania news headlines :,B-ORG I-ORG O O O
909,* The Democratic Convention signed an agreement on government and parliamentary support with its coalition partners the Social Democratic Union and the Hungarian Democratic Union ( UDMR ) .,O O B-MISC I-MISC O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O B-ORG I-ORG I-ORG O B-ORG O O
910,The ceremony was attended by President Emil Constantinescu .,O O O O O O B-PER I-PER O
911,"* The three parties in the government coalition have committed themselves to a real reform of Romania 's economy , Constantinescu said after the ceremony .",O O O O O O O O O O O O O O O O B-LOC O O O B-PER O O O O O
912,"* The UDMR wants to contribute to social reform and economic revival in Romania , union leader Marko Bela said .",O O B-ORG O O O O O O O O O O B-LOC O O O B-PER I-PER O O
913,"* The international airport in Timisoara and the domestic airports in Arad , Oradea and Sibiu were closed due to fog .",O O O O O B-LOC O O O O O B-LOC O B-LOC O B-LOC O O O O O O
914,-- Bucharest Newsroom 40-1 3120264,O B-ORG I-ORG O O
915,-DOCSTART- CZECH VICE-PM SEES WIDER DEBATE AT PARTY CONGRESS .,O B-MISC O O O O O O O O
916,PRAGUE 1996-12-06,B-LOC O
917,"Saturday 's national congress of the ruling Czech Civic Democratic Party ( ODS ) will discuss making the party more efficient and transparent , Foreign Minister and ODS vice-chairman Josef Zieleniec , said on Friday .",O O O O O O O B-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O B-ORG O B-PER I-PER O O O O O
918,""" Modernisation and more profesionalism of the party 's structure , having financing of the party be more transparent ...",O O O O O O O O O O O O O O O O O O O O
919,"are absolutely fundamental , "" Zieleniec , who is also vice-premier in the government , told Reuters .",O O O O O B-PER O O O O O O O O O O B-ORG O
920,"He said after June general elections in which the ruling three-party coalition lost its parliamentary majority , the ODS executive , led by Prime Minister Vaclav Klaus , had developed proposals on these subjects to present at the congress on Saturday in the Czech second city Brno .",O O O O O O O O O O O O O O O O O O B-ORG O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O B-LOC O O B-LOC O
921,""" I am convinced , that the congress will tackle these proposals , "" he said .",O O O O O O O O O O O O O O O O O
922,"The ODS , a party in which Klaus often tries to emulate the style of former British Prime Minister Margaret Thatcher , has been in control of Czech politics since winning general elections in 1992 .",O B-ORG O O O O O B-PER O O O O O O O O B-MISC O O B-PER I-PER O O O O O O B-LOC O O O O O O O O
923,"Zieleniec in the summer led calls for the party and its leadership to listen to more diverse opinions , a thinly-veiled criticism of Klaus who has spearheaded the country 's post-Communist economic reforms .",B-PER O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O B-MISC O O O
924,"The party , led by the vigorously-confident Klaus , took 32 of 81 seats after late November runoff elections to the new upper house of Czech parliament .",O O O O O O O B-PER O O O O O O O O O O O O O O O O O B-LOC O O
925,"But after the first round vote a week before , the ODS had the potential to win as many 79 seats .",O O O O O O O O O O O B-ORG O O O O O O O O O O
926,"Klaus and his coalition lost its majority in parliament in June lower house elections after the left-wing opposition consolidated , putting the centre-left Social Democrats in a strong second-place position .",B-PER O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O
927,-- Prague Newsroom 42-2-2423-0003,O B-ORG I-ORG O
928,-DOCSTART- POLAND GOT MONEY FROM POST-WAR SWISS ACCOUNTS .,O B-LOC O O O O B-MISC O O
929,Marcin Grajewski,B-PER I-PER
930,WARSAW 1996-12-06,B-LOC O
931,"Poland said on Friday that Swiss bank accounts , which in many cases belonged to Polish Jews who died in the Holocaust , were used in debt settlements between the two countries after the World War Two .",B-LOC O O O O B-MISC O O O O O O O O O B-MISC B-MISC O O O O B-MISC O O O O O O O O O O O O B-MISC I-MISC I-MISC O
932,"Foreign Minister Dariusz Rosati , unveiling first findings of a special government commission , said that in 1970s the then communist Poland received 460,000 Swiss francs from the accounts .",O O B-PER I-PER O O O O O O O O O O O O O O O O O B-LOC O O B-MISC O O O O O
933,""" In 1970s , Poland received from unclaimed accounts in Switzerland a sum of 460,000 francs .",O O O O B-LOC O O O O O B-LOC O O O O O O
934,"What was its right ( to the money ) ...I do not know , "" Rosati told a news conference .",O O O O O O O O O O O O O O O B-PER O O O O O
935,"Switzerland stands accused by Senator Alfonse D'Amato , chairman of the powerful U.S. Senate Banking Committee , of agreeing to give money to Poland from unclaimed bank accounts of Polish citizens , as part of an accord on compensating Swiss nationals whose assets had been seized in communist Poland .",B-LOC O O O O B-PER I-PER O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O O B-LOC O O O O O B-MISC O O O O O O O O O B-MISC O O O O O O O O B-LOC O
936,"Many of these citizens were Jews murdered during the war , when Nazi German invaders killed most of Poland 's 3.5 million Jews .",O O O O O B-MISC O O O O O O B-MISC B-MISC O O O O B-LOC O O O B-MISC O
937,Rosati did not say whether the payment in 1970s was part of the 1949 agreement between Warsaw and Switzerland on compensation to Swiss citizens whose assets were seized by the Soviet-imposed communists authorities after World War Two .,B-PER O O O O O O O O O O O O O O O B-LOC O B-LOC O O O B-MISC O O O O O O O B-MISC O O O B-MISC I-MISC I-MISC O
938,""" I expect that the commission will finish gathering information within two to three weeks and then more details will be provided , "" Rosati said .",O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O
939,Rosati confirmed that the 1949 agreement had provided for granting Switzerland about 53 million francs and most of this sum was repaid with coal exports .,B-PER O O O O O O O O O B-LOC O O O O O O O O O O O O O O O
940,"He said , however , that Switzerland did get about 16,000 francs from the so-called "" dead accounts "" as part of the compensation .",O O O O O O B-LOC O O O O O O O O O O O O O O O O O O
941,""" About 16,000 francs were seized from accounts of four or five Polish citizens , whose data we do not precisely know .",O O O O O O O O O O O O B-MISC O O O O O O O O O O
942,"The issue is of moral and legal nature , because its financial significance is small , "" Rosati said .",O O O O O O O O O O O O O O O O O B-PER O O
943,"Under pressure from international Jewish organisations , Swiss government has devised a plan to pay out millions of dollars in unclaimed bank accounts as a conciliatory gesture toward Holocaust victims .",O O O O B-MISC O O B-MISC O O O O O O O O O O O O O O O O O O O O B-MISC O O
944,The conservative Radical Democrats ( FDP ) have said they would ask parliament next week to order Swiss banks to put some 40 million Swiss francs ( $ 31 million ) in dormant wealth into a fund earmarked for Jewish groups and charitable organisations .,O O B-ORG I-ORG O B-ORG O O O O O O O O O O O B-MISC O O O O O O B-MISC O O O O O O O O O O O O O O B-MISC O O O O O
945,But Swiss banks and the country 's Jewish community voiced doubts whether the plan would work .,O B-MISC O O O O O B-MISC O O O O O O O O O
946,-DOCSTART- INTERVIEW-ZYWIEC SEES NO BIG 97 NET RISE .,O B-MISC O O O O O O O
947,Steven Silber,B-PER I-PER
948,WARSAW 1996-12-06,B-LOC O
949,"Polish brewer Zywiec 's 1996 profit slump may last into next year due in part to hefty depreciation charges , but recent high investment should help the firm defend its 10-percent market share , the firm 's chief executive said .",B-MISC O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
950,"Company President Jean van Boxmeer told Reuters in an interview on Friday that the firm , whose net profit fell 77 percent in the first 10 months of 1996 despite a 30-percent rise in sales , might only post slightly better profits in 1997 before having a chance to make a more significant turnaround .",O O B-PER I-PER I-PER O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
951,"So far this year Zywiec , whose full name is Zaklady Piwowarskie w Zywcu SA , has netted six million zlotys on sales of 224 million zlotys .",O O O O B-ORG O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O
952,It has produced 1.5 million hectolitres .,O O O O O O O
953,Van Boxmeer would not say how much higher 1997 profits or market share could be but said sales of leading Polish brewers should rise as the country 's young urban professionals gradually switch from vodka to beer .,B-PER I-PER O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O O
954,""" The perspective on growth is such that reasonably we can think that somewhere between 65 and 80 litres per year is certainly reachable , "" van Boxmeer said on Polish per-capita beer consumption , currently around 40 litres .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O B-MISC O O O O O O O O O
955,"He said the 65-80-litre level could be reached in the next ten years and make Poland , with its 40-million population , Europe 's third largest beer market after Germany and Britain .",O O O O O O O O O O O O O O O B-LOC O O O O O O B-LOC O O O O O O B-LOC O B-LOC O
956,"Van Boxmeer said Poland 's top five brewers , which produce about 55 percent of the country 's beer , could all raise market share as some of the numerous small brewers fall to competition from the large brewers with foreign investors .",B-PER I-PER O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
957,Zywiec is 31.8-percent owned by Heineken while Carlsberg has the same amount in Okocim .,B-ORG O O O O B-ORG O B-ORG O O O O O B-ORG O
958,"Earlier this year South African Breweries Ltd ( SAB ) bought strategic stakes in the unlisted Lech and Tychy brewers , which together hold more than 20 percent of the market , and Australia 's Brewpole BV has a controlling stake in Poland 's larges t brewery , Elbrewery Company Ltd. ( EB ) .",O O O B-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O B-ORG O B-ORG O O O O O O O O O O O O O O B-LOC O B-ORG I-ORG O O O O O B-LOC O O O O O B-ORG I-ORG I-ORG O B-ORG O O
959,"Van Boxmeer said the tough competition had prevented Zywiec from raising prices in line with inflation , which had added to the pressure on the firm 's margins .",B-PER I-PER O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O
960,He said advertising costs would also increase in the fight for market share .,O O O O O O O O O O O O O O
961,"But he said the company 's investment of more than $ 100 million already this decade , largely in production , would help position it to compete with such competitors as brewers from the neighbouring Czech Republic .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O
962,"Some analysts say cheaper but high-quality Czech imports could invade Poland once tariffs for CEFTA countries are lifted in 1998 , but van Boxmeer says such a threat might be exaggerated despite the Czech beer market 's overcapacity .",O O O O O O B-LOC O O O B-LOC O O O B-ORG O O O O O O O O B-PER O O O O O O O O O B-LOC O O O O O
963,""" I think Polish consumers in general are quite proud of their beers -- and I 'm speaking about all the brands -- and as we make good beers ...",O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O
964,"I think that this fidelity to our beers is a factor which can limit the Czech beers , "" he said .",O O O O O O O O O O O O O O O B-LOC O O O O O O
965,"Van Boxmeer said Zywiec had its eye on Okocim , which has said it would start producing Carlsberg beer next year , but that Zywiec 's potential production of Heineken was a medium-term possibility rather than a short-term one .",B-PER I-PER O B-ORG O O O O B-ORG O O O O O O O O B-ORG O O O O O O B-ORG O O O O B-ORG O O O O O O O O O O
